original_file,production_name,production_slug,webp_quality,original_bytes,webp_bytes,savings_pct
FG1192_MangoBentoMiniCheesecake_350g.jpg,mango-bento-mini-cheesecake-350g.webp,mango-bento-mini-cheesecake-350g,85,99568,60680,39.1
FG1193_MangoChocolateTruffleCake_550g.jpg,mango-chocolate-truffle-cake-550g.webp,mango-chocolate-truffle-cake-550g,85,95345,59288,37.8
FG1194_MangoTriflePudding.jpg,mango-trifle-pudding.webp,mango-trifle-pudding,85,95531,54080,43.4
FG1195_MangoTiramisuJar.jpg,mango-tiramisu-jar.webp,mango-tiramisu-jar,82,64391,55950,13.1
FG1239__Mother_s_Day_Cupcake_-__Set_of_2_1.jpg,mothers-day-specials-cupcakes-set-of-2.webp,mothers-day-specials-cupcakes-set-of-2,85,90195,59310,34.2
FG1240__Mother_s_Day_Cupcake_-__Set_of_4_1.jpg,mothers-day-specials-cupcake-set-of-4.webp,mothers-day-specials-cupcake-set-of-4,85,88980,56082,37
FG1241__Mother_s_Day_Cake_-_Chocolate_Almond_Nougatine_1.jpg,mothers-day-specials-chocolate-almond-nougatine-cake.webp,mothers-day-specials-chocolate-almond-nougatine-cake,82,78504,66690,15
FG1242_Mother_s_Day_Brownies__Set_of_2_1.jpg,mothers-day-specials-brownies-set-of-2.webp,mothers-day-specials-brownies-set-of-2,85,92258,60658,34.3
FG1243_Mother_s_Day_Brownies__Set_of_4_1_09de82e3-c47f-4705-b2c4-3da68709992a.jpg,mothers-day-specials-brownies-set-of-4.webp,mothers-day-specials-brownies-set-of-4,85,93063,59564,36
FG1244__Mother_s_Day_Cake_-_Eggless_Fresh_Cream_Pineapple_1.jpg,mothers-day-cake-eggless-fresh-cream-pineapple.webp,mothers-day-cake-eggless-fresh-cream-pineapple,85,66378,59602,10.2
FG1245__Mother_s_Day_Cake_-_Chocoholic_1.jpg,mothers-day-specials-chocoholic-cake.webp,mothers-day-specials-chocoholic-cake,85,72410,38600,46.7
FG1246__Mother_s_Day_Cake_-_Dark_Chocolate_Mousse_1.jpg,mothers-day-specials-dark-chocolate-mousse-cake.webp,mothers-day-specials-dark-chocolate-mousse-cake,85,62617,45298,27.7
FG1247__Mother_s_Day_Cake_-_Red_Velvet_1.jpg,mothers-day-specials-red-velvet-cake.webp,mothers-day-specials-red-velvet-cake,85,86900,74626,14.1
FG1248__Mother_s_Day_Cake___Fresh_Mango_Cream_Cake__530g_1.jpg,mothers-day-fresh-mango-cream-cake-530g.webp,mothers-day-fresh-mango-cream-cake-530g,85,57484,38430,33.1
FG1250__Mother_s_Day_Cake_-_Eggless_Dutch_Truffle_1.jpg,mothers-day-eggless-dutch-truffle-cake.webp,mothers-day-eggless-dutch-truffle-cake,85,83678,58508,30.1
FG1251__Mother_s_Day_Cake_-_Chocolate_and_Strawberry_Heart_Bento_1.jpg,mothers-day-specials-chocolate-and-strawberry-heart-bento-cake.webp,mothers-day-specials-chocolate-and-strawberry-heart-bento-cake,85,85762,59668,30.4
FG1252__Mother_s_Day_Almond_Rocks_250g_1.jpg,mothers-day-almond-rocks-250g.webp,mothers-day-almond-rocks-250g,85,97821,64192,34.4
FG1253__Mother_s_Day_Almond_Rocks_500g_1.jpg,mothers-day-almond-rocks-500g.webp,mothers-day-almond-rocks-500g,85,67094,63580,5.2
FG1254__Mother_s_Day_Signature_Gift_Bag___Assorted_Hamper_1.jpg,mothers-day-signature-gift-hamper-bag.webp,mothers-day-signature-gift-hamper-bag,85,66010,60146,8.9
FG1255__Mother_s_Day_Celebration_Gift_Bag___Assorted_Hamper_1.jpg,mothers-day-celebration-gift-hamper-bag.webp,mothers-day-celebration-gift-hamper-bag,85,75136,69726,7.2
FG1256__Mother_s_Day_Indulgent_Gift_Bag___Assorted_Hamper_1.jpg,mothers-day-indulgent-gift-hamper-bag.webp,mothers-day-indulgent-gift-hamper-bag,85,67823,62200,8.3
FG1257__Mother_s_Day_Luxury_Gift_Box___Assorted_Hamper_1.jpg,mothers-day-luxury-gift-hamper-box.webp,mothers-day-luxury-gift-hamper-box,85,71101,65442,8
FG1259__Mother_s_Day_Collection_Gift_Basket___Assorted_Hamper_-_Copy_1.jpg,mothers-day-collection-gift-hamper-basket.webp,mothers-day-collection-gift-hamper-basket,85,65756,61340,6.7
FG1261__Chocolate_Bars__Set_of_3_1.jpg,mothers-day-specials-chocolate-bars-set-of-3.webp,mothers-day-specials-chocolate-bars-set-of-3,85,79349,49706,37.4
fm_testimonila-quote.png,icon-quote.webp,icon-quote,90,5385,4026,25.2
FrenchBaguette.jpg,french-baguette-1-pc.webp,french-baguette-1-pc,82,197820,181426,8.3
FreshCreamPineappleCakehalfkg.jpg,eggless-fresh-cream-pineapple-cake-1-2-kg.webp,eggless-fresh-cream-pineapple-cake-1-2-kg,85,199588,109766,45
FreshCreamPineappleCakehalfkg02.jpg,eggless-fresh-cream-pineapple-cake-1-2-kg-02.webp,eggless-fresh-cream-pineapple-cake-1-2-kg-02,85,199872,113770,43.1
FreshCreamPineappleCakeonekg.jpg,fresh-cream-pineapple-cake-1-kg.webp,fresh-cream-pineapple-cake-1-kg,85,199795,104722,47.6
FreshCreamPineappleCakeonekg02.jpg,fresh-cream-pineapple-cake-1-kg-02.webp,fresh-cream-pineapple-cake-1-kg-02,85,199092,111106,44.2
FreshFruit_CreamCake.jpg,fresh-fruit-cream-cake.webp,fresh-fruit-cream-cake,85,416304,83864,79.9
freshfruitcustardcreamcake.jpg,fresh-fruit-custard-cream-cake.webp,fresh-fruit-custard-cream-cake,85,69738,42550,39
GiftBag_Luxury.jpg,luxury-gift-bag.webp,luxury-gift-bag,85,254127,126324,50.3
Hazelnut_Nutella_Brownie_1.jpg,hazelnut-nutella-brownie.webp,hazelnut-nutella-brownie,85,118108,59500,49.6
HazelnutDarkChocolateDragees-Brandstore.jpg,hazelnut-dark-chocolate-dragees-100g.webp,hazelnut-dark-chocolate-dragees-100g,82,92104,79750,13.4
HazelnutPralineMousseCake.jpg,hazelnut-praline-mousse-cake-1-2-kg.webp,hazelnut-praline-mousse-cake-1-2-kg,85,197421,99230,49.7
HazelnutPralineMousseCake02.jpg,hazelnut-praline-mousse-cake-1-2-kg-02.webp,hazelnut-praline-mousse-cake-1-2-kg-02,85,197777,128674,34.9
HazelnutPralineMoussePastry.jpg,hazelnut-praline-mousse-pastry-03.webp,hazelnut-praline-mousse-pastry-03,85,199497,116550,41.6
HazelnutPralineMoussePastry02.jpg,hazelnut-praline-mousse-pastry.webp,hazelnut-praline-mousse-pastry,85,187890,98848,47.4
HazelnutPralineMoussePastry03.jpg,hazelnut-praline-mousse-pastry-02.webp,hazelnut-praline-mousse-pastry-02,85,194265,160566,17.3
HIGH-RES_Chicken_Tikka_Sandwich_-_Square_1.jpg,chicken-tikka-sandwich.webp,chicken-tikka-sandwich,85,1343017,156458,88.4
HIGH-RES_Chilli_Cheese_Sandwich_-_Square.jpg,chilli-cheese-sandwich.webp,chilli-cheese-sandwich,85,1562287,192380,87.7
HIGH-RES_Roasted_Chicken_and_Mustard_Sandwich_-_Square.jpg,roasted-chicken-mustard-sandwich-250g.webp,roasted-chicken-mustard-sandwich-250g,85,1430983,180172,87.4
HIGH-RES_Spinach_Corn_Cheese_Sandwich_-_Square.jpg,spinach-corn-cheese-sandwich-250g.webp,spinach-corn-cheese-sandwich-250g,85,908773,99350,89.1
HIGH_RES_Hamper_Gifting_02_-_1200x1000_1.jpg,category-hamper-gifting.webp,category-hamper-gifting,85,174245,84672,51.4
HIGHRESBananaCakeCloseUp-Square.jpg,banana-cake-220g.webp,banana-cake-220g,85,297369,224278,24.6
HIGHRESBananaCakeStylised-Square.jpg,banana-cake-220g-02.webp,banana-cake-220g-02,85,242038,137456,43.2
HIGHRESBananaCakeStylised-Square_a8968333-e5c1-4aa4-8645-ad3754e42bb5.jpg,banana-cake-220g-02-alt-02.webp,banana-cake-220g-02-alt-02,85,241521,136600,43.4
